prediction,reference,semantic_similarity,bleu,bert_score,rouge1,rouge2,rougeL
Using a public-key system,Public key cryptography,0.7418081760406494,0,0.3013530969619751,0.5,0.3333333333333333,0.5
C:\Windows\System32\drivers\etc\hosts,C:\Windows\System32\Config\,0.5705042481422424,0,0.7091937065124512,0.6,0.5,0.6
Polymorphism,Polymorphic Malware,0.5029511451721191,0,0.4822123050689697,0.6666666666666666,0.0,0.6666666666666666
To create a secure and encrypted connection over a public network,"To create a secure, encrypted connection over a less secure network",0.8633981943130493,0.3613284405728026,0.8109859228134155,0.8181818181818182,0.6,0.8181818181818182
Does not protect against unauthorized access to internal systems,They tended to be bypassed as more applications became web-based.,0.25391244888305664,0.02145851237135921,0.21239760518074036,0.09999999999999999,0.0,0.09999999999999999
"A data leak is when unauthorized data is released to the public or an unauthorized party, often through a third-party service or an unsecured database. A data breach is when unauthorized parties gain access to data, often through exploitation of vulnerabilities in a system or network.","A data leak is when unauthorized information is released either through an unauthorized person or because the information was accessed by a hacker. A data breach is part of a cyberattack and involves a cybercriminal attacking a system, server, or email.",0.9553980231285095,0.1894020890042567,0.4711929261684418,0.5227272727272727,0.2558139534883721,0.4318181818181818
To prevent or detect errors in the development process,To catch errors early in the software development process.,0.8237689733505249,0.06376715693797415,0.6196604371070862,0.6666666666666666,0.25,0.6666666666666666
To separate presentation from structure,To provide a consistent and flexible mechanism to manipulate the appearance of HTML documents.,0.29542750120162964,0.008881260752338875,0.15005533397197723,0.10526315789473682,0.0,0.10526315789473682
ATM,Asynchronous Transfer Mode (ATM),0.30466923117637634,0,-0.2542826235294342,0.4,0.0,0.4
Mandatory Access Control (MAC),Discretionary access control,0.6328192353248596,0,0.11650848388671875,0.5714285714285715,0.4,0.5714285714285715
